offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
80,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
80,600,159,10,0,159,73,146,0.420634920634921,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
80,600,159,20,0,159,73,146,0.420634920634921,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,450,170,10,0,170,56,152,0.44973544973545,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,450,170,20,0,170,56,152,0.44973544973545,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,525,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,525,153,10,0,153,87,138,0.404761904761905,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,525,153,20,0,153,87,138,0.404761904761905,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,600,153,10,0,153,87,138,0.404761904761905,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,600,153,20,0,153,87,138,0.404761904761905,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,450,167,10,0,167,66,145,0.441798941798942,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,450,167,20,0,167,66,145,0.441798941798942,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,550,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,550,144,10,0,144,118,116,0.380952380952381,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,550,144,20,0,144,118,116,0.380952380952381,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,600,144,10,0,144,118,116,0.380952380952381,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,600,144,20,0,144,118,116,0.380952380952381,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
